Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 0 <size 181, parent none, gen gap 0, avg score 0, runs 0<
>


ProgramPool (avg. ticks 11616.5, avg. max stack size 103.296, rp 7680)<
  Program 0 <size 181, parent none, gen gap 0, avg score 81.1197, runs 316.16<
  Program 1 <size 178, parent 0, gen gap 1, avg score 3.35514, runs 94.7852<
  Program 2 <size 183, parent 0, gen gap 1, avg score 102.076, runs 215.074<
  Program 3 <size 184, parent 0, gen gap 1, avg score 148.873, runs 140.226<
  Program 4 <size 184, parent 0, gen gap 1, avg score 37.0696, runs 96.8594<
  Program 5 <size 183, parent 4, gen gap 1, avg score 12.7836, runs 21<
  Program 6 <size 1025, parent 3, gen gap 1, avg score 0.50074, runs 85.3438<
  Program 7 <size 184, parent 2, gen gap 1, avg score 99.8307, runs 103.148<
  Program 8 <size 1025, parent 3, gen gap 1, avg score 1.2401, runs 34.4609<
  Program 9 <size 184, parent 2, gen gap 1, avg score 110.643, runs 108.344<
  Program 10 <size 183, parent 4, gen gap 1, avg score 10.9018, runs 24.625<
  Program 11 <size 191, parent 3, gen gap 1, avg score 0.707369, runs 60.4141<
  Program 12 <size 185, parent 7, gen gap 1, avg score 82.9013, runs 31.125<
  Program 13 <size 185, parent 9, gen gap 1, avg score 93.9646, runs 8<
  Program 14 <size 185, parent 9, gen gap 1, avg score 107.577, runs 100.703<
  Program 15 <size 185, parent 7, gen gap 1, avg score 88.8002, runs 46.2813<
  Program 16 <size 185, parent 9, gen gap 1, avg score 108.393, runs 45.2344<
  Program 17 <size 185, parent 9, gen gap 1, avg score 114.818, runs 15<
  Program 18 <size 184, parent 2, gen gap 1, avg score 88.8335, runs 16.75<
  Program 19 <size 1025, parent 3, gen gap 1, avg score 241.793, runs 25.4834<
  Program 20 <size 183, parent 4, gen gap 1, avg score 38.3509, runs 7<
  Program 21 <size 184, parent 2, gen gap 1, avg score 116.919, runs 26.375<
  Program 22 <size 182, parent 0, gen gap 1, avg score 72.4821, runs 29.5625<
  Program 23 <size 185, parent 9, gen gap 1, avg score 124.33, runs 8.5<
  Program 24 <size 183, parent 4, gen gap 1, avg score 21.2639, runs 12.625<
  Program 25 <size 68, parent 22, gen gap 1, avg score 25.0013, runs 21.375<
  Program 26 <size 186, parent 12, gen gap 1, avg score 133.779, runs 2<
  Program 27 <size 183, parent 4, gen gap 1, avg score 19.4798, runs 13.7813<
  Program 28 <size 188, parent 12, gen gap 1, avg score 19.1113, runs 14<
  Program 29 <size 186, parent 14, gen gap 1, avg score 103.778, runs 53.25<
  Program 30 <size 186, parent 18, gen gap 1, avg score 35.8664, runs 7.5<
  Program 31 <size 184, parent 2, gen gap 1, avg score 93.2015, runs 87.9219<
  Program 32 <size 185, parent 7, gen gap 1, avg score 111.629, runs 33.6406<
  Program 33 <size 185, parent 31, gen gap 1, avg score 133.714, runs 7.75<
  Program 34 <size 1025, parent 3, gen gap 1, avg score 4.49843, runs 9.5<
  Program 35 <size 185, parent 31, gen gap 1, avg score 95.2093, runs 69.2578<
  Program 36 <size 186, parent 16, gen gap 1, avg score 119.672, runs 23.125<
